image_id,modality,organ,annotated_region,source
I2000,MRI,Brain,Abdomen abnormality,MIDRC
I2001,CT,Lung,Brain abnormality,RAD-ChestXR
I2002,MRI,Lung,Muscle abnormality,MIDRC
I2003,CT,Brain,Muscle abnormality,RAD-ChestXR
I2004,MRI,Muscle,Muscle abnormality,MIDRC
I2005,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2006,MRI,Muscle,Lung abnormality,MIDRC
I2007,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2008,MRI,Muscle,Lung abnormality,MIDRC
I2009,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2010,MRI,Brain,Lung abnormality,MIDRC
I2011,CT,Muscle,Lung abnormality,RAD-ChestXR
I2012,MRI,Lung,Abdomen abnormality,MIDRC
I2013,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2014,MRI,Abdomen,Abdomen abnormality,MIDRC
I2015,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2016,MRI,Muscle,Lung abnormality,MIDRC
I2017,CT,Muscle,Lung abnormality,RAD-ChestXR
I2018,MRI,Muscle,Brain abnormality,MIDRC
I2019,CT,Brain,Brain abnormality,RAD-ChestXR
I2020,MRI,Muscle,Brain abnormality,MIDRC
I2021,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2022,MRI,Lung,Lung abnormality,MIDRC
I2023,CT,Brain,Muscle abnormality,RAD-ChestXR
I2024,MRI,Brain,Lung abnormality,MIDRC
I2025,CT,Muscle,Brain abnormality,RAD-ChestXR
I2026,MRI,Brain,Abdomen abnormality,MIDRC
I2027,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2028,MRI,Abdomen,Muscle abnormality,MIDRC
I2029,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2030,MRI,Brain,Muscle abnormality,MIDRC
I2031,CT,Lung,Lung abnormality,RAD-ChestXR
I2032,MRI,Lung,Brain abnormality,MIDRC
I2033,CT,Muscle,Brain abnormality,RAD-ChestXR
I2034,MRI,Brain,Brain abnormality,MIDRC
I2035,CT,Lung,Brain abnormality,RAD-ChestXR
I2036,MRI,Abdomen,Abdomen abnormality,MIDRC
I2037,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I2038,MRI,Brain,Abdomen abnormality,MIDRC
I2039,CT,Muscle,Lung abnormality,RAD-ChestXR
I2040,MRI,Abdomen,Brain abnormality,MIDRC
I2041,CT,Brain,Lung abnormality,RAD-ChestXR
I2042,MRI,Brain,Brain abnormality,MIDRC
I2043,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2044,MRI,Abdomen,Lung abnormality,MIDRC
I2045,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2046,MRI,Brain,Muscle abnormality,MIDRC
I2047,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2048,MRI,Lung,Muscle abnormality,MIDRC
I2049,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2050,MRI,Muscle,Brain abnormality,MIDRC
I2051,CT,Muscle,Lung abnormality,RAD-ChestXR
I2052,MRI,Abdomen,Brain abnormality,MIDRC
I2053,CT,Muscle,Lung abnormality,RAD-ChestXR
I2054,MRI,Muscle,Lung abnormality,MIDRC
I2055,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2056,MRI,Abdomen,Lung abnormality,MIDRC
I2057,CT,Muscle,Brain abnormality,RAD-ChestXR
I2058,MRI,Brain,Abdomen abnormality,MIDRC
I2059,CT,Lung,Brain abnormality,RAD-ChestXR
I2060,MRI,Abdomen,Abdomen abnormality,MIDRC
I2061,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2062,MRI,Muscle,Muscle abnormality,MIDRC
I2063,CT,Brain,Lung abnormality,RAD-ChestXR
I2064,MRI,Brain,Lung abnormality,MIDRC
I2065,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2066,MRI,Lung,Abdomen abnormality,MIDRC
I2067,CT,Lung,Muscle abnormality,RAD-ChestXR
I2068,MRI,Muscle,Brain abnormality,MIDRC
I2069,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2070,MRI,Lung,Muscle abnormality,MIDRC
I2071,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2072,MRI,Lung,Brain abnormality,MIDRC
I2073,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2074,MRI,Muscle,Lung abnormality,MIDRC
I2075,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2076,MRI,Muscle,Muscle abnormality,MIDRC
I2077,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2078,MRI,Lung,Abdomen abnormality,MIDRC
I2079,CT,Lung,Muscle abnormality,RAD-ChestXR
I2080,MRI,Abdomen,Lung abnormality,MIDRC
I2081,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2082,MRI,Brain,Lung abnormality,MIDRC
I2083,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2084,MRI,Lung,Brain abnormality,MIDRC
I2085,CT,Brain,Brain abnormality,RAD-ChestXR
I2086,MRI,Lung,Brain abnormality,MIDRC
I2087,CT,Brain,Muscle abnormality,RAD-ChestXR
I2088,MRI,Muscle,Lung abnormality,MIDRC
I2089,CT,Muscle,Brain abnormality,RAD-ChestXR
I2090,MRI,Muscle,Brain abnormality,MIDRC
I2091,CT,Lung,Brain abnormality,RAD-ChestXR
I2092,MRI,Lung,Brain abnormality,MIDRC
I2093,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2094,MRI,Lung,Lung abnormality,MIDRC
I2095,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2096,MRI,Brain,Brain abnormality,MIDRC
I2097,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2098,MRI,Muscle,Abdomen abnormality,MIDRC
I2099,CT,Brain,Lung abnormality,RAD-ChestXR
I2100,MRI,Muscle,Lung abnormality,MIDRC
I2101,CT,Muscle,Lung abnormality,RAD-ChestXR
I2102,MRI,Lung,Brain abnormality,MIDRC
I2103,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2104,MRI,Abdomen,Lung abnormality,MIDRC
I2105,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2106,MRI,Abdomen,Brain abnormality,MIDRC
I2107,CT,Lung,Lung abnormality,RAD-ChestXR
I2108,MRI,Muscle,Brain abnormality,MIDRC
I2109,CT,Muscle,Brain abnormality,RAD-ChestXR
I2110,MRI,Abdomen,Muscle abnormality,MIDRC
I2111,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2112,MRI,Muscle,Brain abnormality,MIDRC
I2113,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I2114,MRI,Lung,Abdomen abnormality,MIDRC
I2115,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2116,MRI,Muscle,Brain abnormality,MIDRC
I2117,CT,Muscle,Lung abnormality,RAD-ChestXR
I2118,MRI,Muscle,Abdomen abnormality,MIDRC
I2119,CT,Brain,Brain abnormality,RAD-ChestXR
I2120,MRI,Abdomen,Abdomen abnormality,MIDRC
I2121,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2122,MRI,Brain,Lung abnormality,MIDRC
I2123,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2124,MRI,Brain,Lung abnormality,MIDRC
I2125,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2126,MRI,Brain,Muscle abnormality,MIDRC
I2127,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2128,MRI,Brain,Brain abnormality,MIDRC
I2129,CT,Lung,Brain abnormality,RAD-ChestXR
I2130,MRI,Lung,Abdomen abnormality,MIDRC
I2131,CT,Brain,Lung abnormality,RAD-ChestXR
I2132,MRI,Brain,Muscle abnormality,MIDRC
I2133,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2134,MRI,Brain,Lung abnormality,MIDRC
I2135,CT,Muscle,Lung abnormality,RAD-ChestXR
I2136,MRI,Brain,Muscle abnormality,MIDRC
I2137,CT,Lung,Brain abnormality,RAD-ChestXR
I2138,MRI,Muscle,Brain abnormality,MIDRC
I2139,CT,Muscle,Abdomen abnormality,RAD-ChestXR
